training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
40.865078,-43.12361,1411.5055,683.1538,4.6406746,-9.381835,0.038489554,1.0,23.189566,0.5480684,-1.8664564,0.028579503,1.0,-0.39869416,-12.891532,-19.557545,9.454963,605.9677,4.370992,-11.890887,0.5403005,1.0,21.60181,0.23030472,-2.3459938,0.50811696,1.0,-0.4849156,-8.865037,-19.324854,2.711863,0.023681555032730103,118.4077820777893,5000
12.7586155,-9.524189,231.23755,110.752945,0.26826212,-9.261619,0.014447035,1.0,11.666656,0.11725892,-1.8437961,0.0059193014,1.0,-0.61976266,-3.4875355,-26.65097,0.70603836,113.86576,0.30393797,-10.2228,0.20668292,1.0,4.3257565,0.068620786,-2.5334847,0.6956073,1.0,-0.18469176,-2.9264753,-25.618652,2.7105358,0.021673959970474242,226.77759313583374,10000
45.117462,-35.88713,707.57886,688.5496,7.9251657,-9.447415,0.05160545,1.0,46.683846,0.24036443,-1.8489786,0.011102012,1.0,-0.11753157,-17.778875,-35.64218,0.45537183,736.7465,6.382545,-11.029657,0.36805412,1.0,19.129751,-0.21689327,-2.4916098,0.6537327,1.0,0.45553175,-7.0919046,-30.883392,1.5816028,0.021712809562683105,335.34164786338806,15000
78.27901,-84.24042,1149.8206,831.7783,10.779093,-9.249651,0.012052904,1.0,44.747517,0.36569592,-1.8553568,0.017479628,1.0,-0.0901016,-15.49733,-41.3088,1.835966,641.3371,7.1306353,-11.102274,0.38257706,1.0,97.08838,0.16175222,-2.8247724,0.98689526,1.0,1.4488225,-11.898105,-31.450405,17.427874,0.02161774845123291,443.4303970336914,20000
5.2979507,-8.306332,136.51343,27.597425,0.13620542,-9.244547,0.011032718,1.0,2.329585,0.068451926,-1.8399519,0.0020750253,1.0,-0.85253024,-2.7844555,-17.715508,1.115893,241.6483,0.9846981,-10.597863,0.28169575,1.0,17.77026,0.16223286,-2.1297522,0.29187492,1.0,0.56577337,-5.0546813,-33.36155,0.9955473,0.021686759996414184,551.8642041683197,25000
48.27466,-39.095543,598.0626,707.1197,7.675119,-9.219618,0.006046476,1.0,62.114113,0.99041075,-1.8393719,0.0014948262,1.0,0.03388349,-16.536196,-49.939377,1.2480572,734.0854,6.26181,-11.878356,0.53779304,1.0,61.17447,0.9599542,-2.9175062,1.0796293,1.0,3.0465484,-9.681196,-34.959618,15.587157,0.021642857360839842,660.0785009860992,30000
19.37023,-20.079021,548.11145,832.3146,10.630171,-9.213757,0.0048735193,1.0,56.152004,0.83550644,-1.8438872,0.0060100327,1.0,-0.54296935,-13.8335495,-44.26398,1.2052984,862.4811,2.3500955,-12.364179,0.63495785,1.0,58.3522,0.4563733,-2.7675343,0.929657,1.0,2.1922412,-14.0821,-45.910492,3.2211776,0.021647142791748047,768.3142232894897,35000
32.66455,-33.686657,545.0321,878.1025,12.95494,-9.229213,0.007965119,1.0,33.301,0.4894692,-1.8399744,0.0020976753,1.0,0.32631466,-16.670376,-41.72303,0.6521381,696.1524,9.05018,-11.122121,0.38654605,1.0,128.01135,0.6061487,-2.641524,0.8036467,1.0,0.26691297,-12.822629,-45.947815,2.6592689,0.02172951316833496,876.961795091629,40000
43.63439,-55.642128,722.5245,832.4924,13.002452,-9.245661,0.0112553295,1.0,73.604355,0.98043674,-1.8392308,0.001353617,1.0,-0.037116617,-20.80782,-51.49505,0.3954964,917.1035,6.9364457,-12.202764,0.60267544,1.0,48.958508,0.7374131,-2.0607347,0.22285746,1.0,1.5100603,-16.532875,-44.250572,2.2118556,0.021712320947647096,985.5234088897705,45000
20.587624,-13.409649,453.10828,801.8697,4.638803,-9.196211,0.0013641142,1.0,41.148155,0.4980851,-1.8382523,0.00037516447,1.0,-0.17708537,-8.631299,-18.03582,1.5745311,530.0019,2.9165285,-10.039022,0.16992708,1.0,36.119747,0.20088187,-2.8992717,1.0613946,1.0,7.32901,-7.3820467,-22.974564,1.0554249,0.02177666025161743,1094.4067170619965,50000
15.256888,-21.132204,376.6404,648.4226,4.010181,-9.307787,0.023680758,1.0,18.459572,0.23681147,-1.8469664,0.009089486,1.0,0.33452085,-8.711417,-38.141182,1.2185574,441.00552,3.404286,-10.8953285,0.34118748,1.0,68.60061,0.32341552,-2.9511106,1.1132336,1.0,0.30744523,-11.632284,-44.283302,1.316977,0.02173525061607361,1203.0829770565033,55000
84.04575,-78.71157,780.411,660.5463,6.4362,-9.272638,0.016650878,1.0,52.606422,0.6527266,-1.9508902,0.1130131,1.0,0.10514581,-17.5418,-44.91665,1.5529274,779.1015,7.527804,-11.803679,0.52285856,1.0,45.063908,1.7768528,-2.182583,0.3447059,1.0,2.5493288,-20.978737,-53.653633,11.337062,0.021722962188720704,1311.6977961063385,60000
